modelo,f1_promedio_cv,desviacion_cv
Regresión logística,0.8673890806593023,0.03336804637318908
Support Vector Machine,0.8534807278541294,0.05535106741365433
Random Forest,0.8531441114585178,0.05650259362978021
K-Nearest Neighbors,0.8487272204919263,0.037595754950135674
Árbol de decisión,0.7733840072970508,0.05005168559604862
