modelo,accuracy,precision,recall,f1_score,roc_auc
Regresión logística,0.8360655737704918,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.9047619047619048
K-Nearest Neighbors,0.8360655737704918,0.8709677419354839,0.8181818181818182,0.84375,0.8863636363636364
Random Forest,0.8032786885245902,0.8387096774193549,0.7878787878787878,0.8125,0.8836580086580087
Support Vector Machine,0.7868852459016393,0.8125,0.7878787878787878,0.8,0.8787878787878788
Árbol de decisión,0.7377049180327869,0.7741935483870968,0.7272727272727273,0.75,0.7386363636363636
